Doc Id,Sentence Id,Sentence,Lowercase Sentence,#Tokens,Stanford POS Tag,Stanford Lemma,Stanford Lower Lemma,#POS Tags,#Lemmas,#Events,#Time Expressions,All Runs Times,# POS Tags VB,#Event Tokens,#Event Lemma
CNN_20130321_821,5,They have an agenda .,they have an agenda .,5,PRP VBP DT NN .,they have a agenda .,they have a agenda .,5,5,0,0,,1.0,4.0,8.0
WSJ_20130321_1145,9,But Leon can still run .,but leon can still run .,6,CC NNP MD RB VB .,but Leon can still run .,but leon can still run .,6,6,0,0,,1.0,1.0,1.0
CNN_20130322_1243,11,The entire experience is frictionless .,the entire experience is frictionless .,6,DT JJ NN VBZ JJ .,the entire experience be frictionless .,the entire experience be frictionless .,6,6,0,0,,1.0,0.0,2.0
CNN_20130322_1243,21,But it is a well-exectuted refinement .,but it is a well-exectuted refinement .,7,CC PRP VBZ DT JJ NN .,but it be a well-exectuted refinement .,but it be a well-exectuted refinement .,7,7,0,0,,1.0,0.0,2.0
bbc_20130322_1150,7,`` There was a great feeling of euphoria from everyone .,`` there was a great feeling of euphoria from everyone .,11,`` EX VBD DT JJ NN IN NN IN NN .,`` there be a great feeling of euphoria from everyone .,`` there be a great feeling of euphoria from everyone .,11,11,0,0,,1.0,1.0,2.0
bbc_20130322_1150,11,"`` When there were dramas , there was a split problem .","`` when there were dramas , there was a split problem .",12,"`` WRB EX VBD NN , EX VBD DT NN NN .","`` when there be dramas , there be a split problem .","`` when there be dramas , there be a split problem .",12,12,0,0,,2.0,1.0,5.0
AP_20130322,10,The government only does a national flu death count for children .,the government only does a national flu death count for children .,12,DT NN RB VBZ DT JJ NN NN NN IN NNS .,the government only do a national flu death count for child .,the government only do a national flu death count for child .,12,12,0,0,,1.0,2.0,6.0
nyt_20130321_women_senate,5,`` There still just are n't that many of us . '',`` there still just are n't that many of us . '',12,`` EX RB RB VBP RB IN JJ IN PRP . '',`` there still just be not that many of we . '',`` there still just be not that many of we . '',12,12,0,0,,1.0,0.0,2.0
AP_20130322,13,That 's more than 2 1/2 times higher than any other recent season .,that 's more than 2 1/2 times higher than any other recent season .,13,DT VBZ JJR IN CD NNS JJR IN DT JJ JJ NN .,that be more than 2 1/2 time higher than any other recent season .,that be more than 2 1/2 time higher than any other recent season .,13,13,0,1,recent season__52__65###season__59__65###recent__52__58,1.0,4.0,7.0
nyt_20130322_strange_computer,2,"In that infinitesimal neighborhood , common sense logic no longer seems to apply .","in that infinitesimal neighborhood , common sense logic no longer seems to apply .",14,"IN DT JJ NN , JJ NN NN RB RB VBZ TO VB .","in that infinitesimal neighborhood , common sense logic no longer seem to apply .","in that infinitesimal neighborhood , common sense logic no longer seem to apply .",14,14,0,0,,2.0,0.0,1.0
WSJ_20130321_1145,0,"In competitions against the clock , some athletes display an ability to seize control .","in competitions against the clock , some athletes display an ability to seize control .",15,"IN NNS IN DT NN , DT NNS VBP DT NN TO VB NN .","in competition against the clock , some athlete display a ability to seize control .","in competition against the clock , some athlete display a ability to seize control .",15,15,0,0,,2.0,0.0,1.0
nyt_20130321_women_senate,8,"A record nine women now lead committees , including some of the most powerful ones .","a record nine women now lead committees , including some of the most powerful ones .",16,"DT NN CD NNS RB VBP NNS , VBG DT IN DT RBS JJ NNS .","a record nine woman now lead committee , include some of the most powerful one .","a record nine woman now lead committee , include some of the most powerful one .",16,16,0,1,now__20__23,2.0,1.0,7.0
nyt_20130322_strange_computer,4,"It sounds preposterous , particularly to those familiar with the yes/no world of conventional computing .","it sounds preposterous , particularly to those familiar with the yes/no world of conventional computing .",16,"PRP VBZ JJ , RB TO DT JJ IN DT JJ NN IN JJ NN .","it sound preposterous , particularly to those familiar with the yes/no world of conventional computing .","it sound preposterous , particularly to those familiar with the yes/no world of conventional computing .",16,16,0,0,,1.0,0.0,0.0
nyt_20130321_cyprus,12,That is a mere rounding error compared with the euro zone G.D.P. of 9.4 trillion euros .,that is a mere rounding error compared with the euro zone g.d.p. of 9.4 trillion euros .,17,DT VBZ DT JJ VBG NN VBN IN DT NN NN NN IN CD CD NNS .,that be a mere round error compare with the euro zone g.d.p. of 9.4 trillion euro .,that be a mere round error compare with the euro zone g.d.p. of 9.4 trillion euro .,17,17,0,0,,3.0,0.0,4.0
CNN_20130322_1243,15,"But that 's more a function of it being new , rather than poorly thought out .","but that 's more a function of it being new , rather than poorly thought out .",17,"CC DT VBZ JJR DT NN IN PRP VBG JJ , RB IN RB VBN RP .","but that be more a function of it be new , rather than poorly think out .","but that be more a function of it be new , rather than poorly think out .",17,17,0,0,,3.0,2.0,7.0
WSJ_20130321_1145,1,Think of the Clark-Kent-to-Superman routines that John Elway and Michael Jordan often pulled in the final seconds .,think of the clark-kent-to-superman routines that john elway and michael jordan often pulled in the final seconds .,18,VB IN DT NNP NNS WDT NNP NNP CC NNP NNP RB VBD IN DT JJ NNS .,think of the Clark-Kent-to-Superman routine that John Elway and Michael Jordan often pull in the final seconds .,think of the clark-kent-to-superman routine that john elway and michael jordan often pull in the final seconds .,18,18,0,0,seconds__106__113###final seconds__100__113###the final seconds__96__113###final__100__105###the final__96__105,2.0,3.0,5.0
CNN_20130321_821,6,Obama 's humor is often delivered the way a comedian dealing with a heckler would do it .,obama 's humor is often delivered the way a comedian dealing with a heckler would do it .,18,NNP POS NN VBZ RB VBN DT NN DT NN VBG IN DT NN MD VB PRP .,Obama 's humor be often deliver the way a comedian deal with a heckler would do it .,obama 's humor be often deliver the way a comedian deal with a heckler would do it .,18,18,0,0,,4.0,1.0,4.0
CNN_20130322_1243,13,"Organization options are limited -- color coding is your only choice , and you ca n't re-order your notes .","organization options are limited -- color coding is your only choice , and you ca n't re-order your notes .",20,"NNP NNS VBP VBN : NN NN VBZ PRP$ JJ NN , CC PRP MD RB VB PRP$ NNS .","Organization option be limit -- color coding be you only choice , and you can not re-order you note .","organization option be limit -- color coding be you only choice , and you can not re-order you note .",20,20,0,0,,4.0,0.0,4.0
CNN_20130322_1243,7,"Everything in Keep is presented like a Microsoft -LRB- MSFT , Fortune 500 -RRB- Windows Phone-esque stream of tiles .","everything in keep is presented like a microsoft -lrb- msft , fortune 500 -rrb- windows phone-esque stream of tiles .",20,"NN IN VB VBZ VBN IN DT NNP -LRB- NNP , NNP CD -RRB- NNP JJ NN IN NNS .","everything in keep be present like a Microsoft -lrb- MSFT , Fortune 500 -rrb- Windows phone-esque stream of tile .","everything in keep be present like a microsoft -lrb- msft , fortune 500 -rrb- windows phone-esque stream of tile .",20,20,0,0,,3.0,1.0,5.0
CNN_20130322_1243,14,"Sharing with others is mostly limited to email and Google + , and the desktop features are pretty bare bones .","sharing with others is mostly limited to email and google + , and the desktop features are pretty bare bones .",21,"VBG IN NNS VBZ RB VBN TO VB CC NNP CC , CC DT NN NNS VBP RB JJ NNS .","share with other be mostly limit to email and Google + , and the desktop feature be pretty bare bone .","share with other be mostly limit to email and google + , and the desktop feature be pretty bare bone .",21,21,0,0,,5.0,0.0,4.0
nyt_20130322_strange_computer,0,"Our digital age is all about bits , those precise ones and zeros that are the stuff of modern computer code .","our digital age is all about bits , those precise ones and zeros that are the stuff of modern computer code .",22,"PRP$ JJ NN VBZ DT IN NNS , DT JJ NNS CC NNS WDT VBP DT NN IN JJ NN NN .","we digital age be all about bit , those precise one and zero that be the stuff of modern computer code .","we digital age be all about bit , those precise one and zero that be the stuff of modern computer code .",22,22,0,1,digital__4__11,2.0,0.0,4.0
CNN_20130322_1243,4,"The second you log anything into your phone , it is also accessible from a PC Web browser via Google Drive .","the second you log anything into your phone , it is also accessible from a pc web browser via google drive .",22,"DT JJ PRP VBP NN IN PRP$ NN , PRP VBZ RB JJ IN DT NN NN NN IN NNP NNP .","the second you log anything into you phone , it be also accessible from a pc web browser via Google Drive .","the second you log anything into you phone , it be also accessible from a pc web browser via google drive .",22,22,0,0,,2.0,1.0,3.0
CNN_20130322_1243,8,Swiping left or right will archive those notes you no longer need -LRB- but do n't want to erase entirely -RRB- .,swiping left or right will archive those notes you no longer need -lrb- but do n't want to erase entirely -rrb- .,22,VBG NN CC NN MD NN DT NNS PRP DT JJR NN -LRB- CC VBP RB VB TO VB RB -RRB- .,swipe left or right will archive those note you no longer need -lrb- but do not want to erase entirely -rrb- .,swipe left or right will archive those note you no longer need -lrb- but do not want to erase entirely -rrb- .,22,22,0,0,,4.0,2.0,5.0
WSJ_20130321_1145,6,"The torment of enduring that wait can paste a cancer patient to the couch , a surrender heavily associated with deadlier outcomes .","the torment of enduring that wait can paste a cancer patient to the couch , a surrender heavily associated with deadlier outcomes .",23,"DT VB IN VBG IN NN MD VB DT NN NN TO DT NN , DT NN RB VBN IN JJR NNS .","the torment of endure that wait can paste a cancer patient to the couch , a surrender heavily associate with deadlier outcome .","the torment of endure that wait can paste a cancer patient to the couch , a surrender heavily associate with deadlier outcome .",23,23,0,0,,4.0,0.0,1.0
CNN_20130322_1243,9,At the top of the app is a text entry field that serves as your main point of entry for all new notes .,at the top of the app is a text entry field that serves as your main point of entry for all new notes .,24,IN DT NN IN DT NN VBZ DT NN NN NN WDT VBZ IN PRP$ JJ NN IN NN IN DT JJ NNS .,at the top of the app be a text entry field that serve as you main point of entry for all new note .,at the top of the app be a text entry field that serve as you main point of entry for all new note .,24,24,0,0,,2.0,0.0,4.0
CNN_20130322_1243,6,"The design may not be as progressive as the to-do app Clear , but Keep makes up for that in its simplicity and efficiency .","the design may not be as progressive as the to-do app clear , but keep makes up for that in its simplicity and efficiency .",25,"DT NN MD RB VB IN JJ IN DT NN NN JJ , CC VBP VBZ RP IN DT IN PRP$ NN CC NN .","the design may not be as progressive as the to-do app clear , but keep make up for that in its simplicity and efficiency .","the design may not be as progressive as the to-do app clear , but keep make up for that in its simplicity and efficiency .",25,25,0,0,,3.0,3.0,12.0
nyt_20130322_strange_computer,3,"A one can be a one , or it can be a one and a zero and everything in between all at the same time .","a one can be a one , or it can be a one and a zero and everything in between all at the same time .",26,"DT NN MD VB DT CD , CC PRP MD VB DT CD CC DT CD CC NN IN IN DT IN DT JJ NN .","a one can be a one , or it can be a one and a zero and everything in between all at the same time .","a one can be a one , or it can be a one and a zero and everything in between all at the same time .",26,26,0,0,,2.0,3.0,5.0
CNN_20130322_1243,10,"And when viewing any specific note , tapping any part of that note -LRB- title , body , etc. -RRB- will allow you to edit it .","and when viewing any specific note , tapping any part of that note -lrb- title , body , etc. -rrb- will allow you to edit it .",27,"CC WRB VBG DT JJ NN , VBG DT NN IN DT NN -LRB- NN , NN , FW -RRB- MD VB PRP TO VB PRP .","and when view any specific note , tap any part of that note -lrb- title , body , etc. -rrb- will allow you to edit it .","and when view any specific note , tap any part of that note -lrb- title , body , etc. -rrb- will allow you to edit it .",27,27,0,0,,4.0,1.0,3.0
CNN_20130322_1243,5,"Alternatively , you can save things while working on your computer , and it will instantly appear on your phone , ready for use while on the go .","alternatively , you can save things while working on your computer , and it will instantly appear on your phone , ready for use while on the go .",29,"RB , PRP MD VB NNS IN VBG IN PRP$ NN , CC PRP MD RB VB IN PRP$ NN , JJ IN NN IN IN DT NN .","alternatively , you can save thing while work on you computer , and it will instantly appear on you phone , ready for use while on the go .","alternatively , you can save thing while work on you computer , and it will instantly appear on you phone , ready for use while on the go .",29,29,0,0,,3.0,4.0,9.0
CNN_20130322_1243,3,"Keep is n't simply just a place to bank whatever random half-thoughts come to mind : Users can construct to-do lists , stash photos , and color code your notes -- all in one well-designed and easy-to-use interface .","keep is n't simply just a place to bank whatever random half-thoughts come to mind : users can construct to-do lists , stash photos , and color code your notes -- all in one well-designed and easy-to-use interface .",39,"VB VBZ RB RB RB DT NN TO NN WDT JJ NNS VBP TO VB : NNS MD VB NN NNS , JJ NNS , CC NN VBP PRP$ NNS : DT IN CD JJ CC JJ NN .","keep be not simply just a place to bank whatever random half-thought come to mind : user can construct to-do list , stash photo , and color code you note -- all in one well-designed and easy-to-use interface .","keep be not simply just a place to bank whatever random half-thought come to mind : user can construct to-do list , stash photo , and color code you note -- all in one well-designed and easy-to-use interface .",39,39,0,0,,6.0,2.0,9.0
